input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
238,1,0,1162,0.1687
238,0,10,1162,0.1701
238,1,0,1162,0.1694
238,0,10,1162,0.1701
238,0,4,1166,0.1673
238,0,18,1162,0.1687
238,0,4,1166,0.1673
238,1,0,1162,0.1687
238,0,4884,1162,0.8449
238,1,0,1162,0.1694
238,0,3486,1162,0.634
238,1,0,1162,0.1694
239,1,0,1161,0.1651
239,1,0,1161,0.168
239,1,0,1161,0.1665
240,1,0,1160,0.1708
240,1,0,1160,0.1708
240,0,3,1162,0.1687
240,1,0,1160,0.1658
240,0,3816,1160,0.9821
240,1,0,1160,0.1708
240,0,2,1164,0.1651
240,1,0,1160,0.1687
240,1,0,1160,0.1708
240,1,0,1160,0.168
240,1,0,1160,0.1708
240,0,4,1164,0.1687
240,1,0,1160,0.1701
240,0,10,1160,0.1716
241,1,0,1159,0.1701
241,1,0,1159,0.1701
242,1,0,1158,0.1723
242,0,3726,1158,0.8806
242,1,0,1158,0.1694
242,1,0,1158,0.1716
242,1,0,1158,0.1723
242,0,4041,1159,0.8999
242,0,4,1162,0.1687
242,1,0,1158,0.1701
242,1,0,1158,0.1723
242,1,0,1158,0.1723
242,1,0,1158,0.1723
242,1,0,1158,0.1701
242,0,1,1159,0.1716
242,0,10,1158,0.1723
242,1,0,1158,0.1723
242,1,0,1158,0.1723
242,0,4422,1158,0.4232
242,0,2,1162,0.1658
243,1,0,1157,0.1716
243,0,5,1167,0.1623
243,0,4,1164,0.1651
